2024/12/07 21:23:06.158, Quadro RTX 6000, 5488 MiB, 24576 MiB, 60
2024/12/07 21:23:16.209, Quadro RTX 6000, 5484 MiB, 24576 MiB, 58
2024/12/07 21:23:26.298, Quadro RTX 6000, 5484 MiB, 24576 MiB, 54
2024/12/07 21:23:36.399, Quadro RTX 6000, 5484 MiB, 24576 MiB, 52
2024/12/07 21:23:46.449, Quadro RTX 6000, 5484 MiB, 24576 MiB, 50
2024/12/07 21:23:56.538, Quadro RTX 6000, 5484 MiB, 24576 MiB, 49
2024/12/07 21:24:06.580, Quadro RTX 6000, 5484 MiB, 24576 MiB, 47
2024/12/07 21:24:16.639, Quadro RTX 6000, 5484 MiB, 24576 MiB, 46
2024/12/07 21:24:26.699, Quadro RTX 6000, 5477 MiB, 24576 MiB, 45
2024/12/07 21:24:36.777, Quadro RTX 6000, 5523 MiB, 24576 MiB, 45
2024/12/07 21:24:46.818, Quadro RTX 6000, 5500 MiB, 24576 MiB, 44
2024/12/07 21:24:56.858, Quadro RTX 6000, 5478 MiB, 24576 MiB, 44
2024/12/07 21:25:06.908, Quadro RTX 6000, 19599 MiB, 24576 MiB, 59
2024/12/07 21:25:16.977, Quadro RTX 6000, 19593 MiB, 24576 MiB, 66
2024/12/07 21:25:27.057, Quadro RTX 6000, 19589 MiB, 24576 MiB, 72
2024/12/07 21:25:37.108, Quadro RTX 6000, 19598 MiB, 24576 MiB, 67
2024/12/07 21:25:47.148, Quadro RTX 6000, 5571 MiB, 24576 MiB, 64
2024/12/07 21:25:57.199, Quadro RTX 6000, 5566 MiB, 24576 MiB, 60
2024/12/07 21:26:07.259, Quadro RTX 6000, 5587 MiB, 24576 MiB, 56
2024/12/07 21:26:17.358, Quadro RTX 6000, 5578 MiB, 24576 MiB, 54
2024/12/07 21:26:27.408, Quadro RTX 6000, 5584 MiB, 24576 MiB, 52
2024/12/07 21:26:37.469, Quadro RTX 6000, 5572 MiB, 24576 MiB, 51
2024/12/07 21:26:47.518, Quadro RTX 6000, 5595 MiB, 24576 MiB, 50
